"U:0","U:1","U:2","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.86867e-004,3.49581e-008,0.00000e+000,1.00001e+000,1,7.70000e-001,5.00000e-001,7.70000e-001,5.00000e-002
5.68576e-004,3.39877e-008,0.00000e+000,1.00001e+000,1,7.80000e-001,5.00000e-001,7.80000e-001,5.00000e-002
5.48953e-004,3.27098e-008,0.00000e+000,1.00001e+000,1,7.90000e-001,5.00000e-001,7.90000e-001,5.00000e-002
5.29330e-004,3.14319e-008,0.00000e+000,1.00001e+000,1,8.00000e-001,5.00000e-001,8.00000e-001,5.00000e-002
5.08377e-004,2.98863e-008,0.00000e+000,1.00001e+000,1,8.10000e-001,5.00000e-001,8.10000e-001,5.00000e-002
4.87425e-004,2.83408e-008,0.00000e+000,1.00001e+000,1,8.20000e-001,5.00000e-001,8.20000e-001,5.00000e-002
4.65145e-004,2.65758e-008,0.00000e+000,1.00001e+000,1,8.30000e-001,5.00000e-001,8.30000e-001,5.00000e-002
4.42866e-004,2.48108e-008,0.00000e+000,1.00001e+000,1,8.40000e-001,5.00000e-001,8.40000e-001,5.00000e-002
4.19261e-004,2.28839e-008,0.00000e+000,1.00001e+000,1,8.50000e-001,5.00000e-001,8.50000e-001,5.00000e-002
3.95657e-004,2.09571e-008,0.00000e+000,1.00001e+000,1,8.60000e-001,5.00000e-001,8.60000e-001,5.00000e-002
3.70727e-004,1.89367e-008,0.00000e+000,1.00001e+000,1,8.70000e-001,5.00000e-001,8.70000e-001,5.00000e-002
3.45797e-004,1.69163e-008,0.00000e+000,1.00001e+000,1,8.80000e-001,5.00000e-001,8.80000e-001,5.00000e-002
3.19542e-004,1.48838e-008,0.00000e+000,1.00001e+000,1,8.90000e-001,5.00000e-001,8.90000e-001,5.00000e-002
2.93287e-004,1.28513e-008,0.00000e+000,1.00001e+000,1,9.00000e-001,5.00000e-001,9.00000e-001,5.00000e-002
2.65706e-004,1.09031e-008,0.00000e+000,1.00001e+000,1,9.10000e-001,5.00000e-001,9.10000e-001,5.00000e-002
2.38125e-004,8.95494e-009,0.00000e+000,1.00001e+000,1,9.20000e-001,5.00000e-001,9.20000e-001,5.00000e-002
2.09217e-004,7.20929e-009,0.00000e+000,1.00001e+000,1,9.30000e-001,5.00000e-001,9.30000e-001,5.00000e-002
1.80309e-004,5.46364e-009,0.00000e+000,1.00001e+000,1,9.40000e-001,5.00000e-001,9.40000e-001,5.00000e-002
1.50087e-004,4.04584e-009,0.00000e+000,1.00001e+000,1,9.50000e-001,5.00000e-001,9.50000e-001,5.00000e-002
1.19864e-004,2.62804e-009,0.00000e+000,1.00001e+000,1,9.60000e-001,5.00000e-001,9.60000e-001,5.00000e-002
8.83623e-005,1.70575e-009,0.00000e+000,1.00001e+000,1,9.70000e-001,5.00000e-001,9.70000e-001,5.00000e-002
5.68606e-005,7.83472e-010,0.00000e+000,1.00001e+000,1,9.80000e-001,5.00000e-001,9.80000e-001,5.00000e-002
2.84303e-005,3.91736e-010,0.00000e+000,1.00001e+000,1,9.90000e-001,5.00000e-001,9.90000e-001,5.00000e-002
0.00000e+000,0.00000e+000,0.00000e+000,1.00000e+000,1,1.00000e+000,5.00000e-001,1.00000e+000,5.00000e-002
